TMP,HUM,C02,V_ST,Time,D_N
24.14,54.1,2,100%,Fri Oct 21 17:18:41 2022,302
24.16,53.95,2,100%,Fri Oct 21 17:18:51 2022,303
24.14,53.66,2,100%,Fri Oct 21 17:19:01 2022,304
24.14,53.19,2,100%,Fri Oct 21 17:19:11 2022,305
24.13,53.34,2,100%,Fri Oct 21 17:19:21 2022,306
24.11,53.29,2,100%,Fri Oct 21 17:19:31 2022,307
24.1,53.44,2,100%,Fri Oct 21 17:19:41 2022,308
24.11,53.58,2,100%,Fri Oct 21 17:19:51 2022,309
24.11,53.56,2,100%,Fri Oct 21 17:20:01 2022,310
24.13,53.66,2,100%,Fri Oct 21 17:20:11 2022,311
24.13,53.97,2,100%,Fri Oct 21 17:20:21 2022,312
24.13,53.63,2,100%,Fri Oct 21 17:20:31 2022,313
24.13,53.78,2,100%,Fri Oct 21 17:20:41 2022,314
24.13,53.93,2,100%,Fri Oct 21 17:20:51 2022,315
24.11,53.66,2,100%,Fri Oct 21 17:21:01 2022,316
24.13,53.56,2,100%,Fri Oct 21 17:21:11 2022,317
24.14,53.78,2,100%,Fri Oct 21 17:21:21 2022,318
24.13,54.1,2,100%,Fri Oct 21 17:21:31 2022,319
24.13,53.97,2,100%,Fri Oct 21 17:21:41 2022,320
24.11,53.78,2,100%,Fri Oct 21 17:21:51 2022,321
24.1,54.07,2,100%,Fri Oct 21 17:22:02 2022,322
24.09,54.34,2,100%,Fri Oct 21 17:22:12 2022,323
24.09,54.37,2,100%,Fri Oct 21 17:22:22 2022,324
24.07,53.85,2,100%,Fri Oct 21 17:22:32 2022,325
24.06,53.95,2,100%,Fri Oct 21 17:22:42 2022,326
24.04,54.22,2,100%,Fri Oct 21 17:22:52 2022,327
24.03,54.22,2,100%,Fri Oct 21 17:23:02 2022,328
24.03,54.39,2,100%,Fri Oct 21 17:23:12 2022,329
24.02,54.46,2,100%,Fri Oct 21 17:23:22 2022,330
24,54.32,2,100%,Fri Oct 21 17:23:32 2022,331
24,54.27,2,100%,Fri Oct 21 17:23:42 2022,332
24,54.51,2,100%,Fri Oct 21 17:23:52 2022,333
23.97,54.32,2,100%,Fri Oct 21 17:24:02 2022,334
23.97,54.27,2,100%,Fri Oct 21 17:24:12 2022,335
23.99,54.65,2,100%,Fri Oct 21 17:24:22 2022,336
23.97,54.24,2,100%,Fri Oct 21 17:24:32 2022,337
23.96,54.17,2,100%,Fri Oct 21 17:24:42 2022,338
23.95,54.19,2,100%,Fri Oct 21 17:24:52 2022,339
23.96,54.55,2,100%,Fri Oct 21 17:25:02 2022,340
23.96,54.7,2,100%,Fri Oct 21 17:25:12 2022,341
23.96,54.73,2,100%,Fri Oct 21 17:25:23 2022,342
23.97,54.82,2,100%,Fri Oct 21 17:25:33 2022,343
23.97,54.39,2,100%,Fri Oct 21 17:25:43 2022,344
23.96,54.51,2,100%,Fri Oct 21 17:25:53 2022,345
23.96,54.87,2,100%,Fri Oct 21 17:26:03 2022,346
23.95,54.34,2,100%,Fri Oct 21 17:26:13 2022,347
23.96,54.75,2,100%,Fri Oct 21 17:26:23 2022,348
23.96,54.85,2,100%,Fri Oct 21 17:26:33 2022,349
23.95,54.8,2,100%,Fri Oct 21 17:26:43 2022,350
23.95,54.73,2,100%,Fri Oct 21 17:26:53 2022,351
23.93,54.68,2,100%,Fri Oct 21 17:27:03 2022,352
23.92,54.65,2,100%,Fri Oct 21 17:27:13 2022,353
23.93,54.68,2,100%,Fri Oct 21 17:27:23 2022,354
23.92,54.8,2,100%,Fri Oct 21 17:27:33 2022,355
23.93,54.8,2,100%,Fri Oct 21 17:27:43 2022,356
23.93,54.8,2,100%,Fri Oct 21 17:27:53 2022,357
23.93,54.8,2,100%,Fri Oct 21 17:28:03 2022,358
23.95,54.9,2,100%,Fri Oct 21 17:28:13 2022,359
23.93,54.82,2,100%,Fri Oct 21 17:28:23 2022,360
23.92,54.87,2,100%,Fri Oct 21 17:28:33 2022,361
23.92,54.8,2,100%,Fri Oct 21 17:28:43 2022,362
23.93,54.8,2,100%,Fri Oct 21 17:28:54 2022,363
23.93,55.04,2,100%,Fri Oct 21 17:29:04 2022,364
23.92,55.24,2,100%,Fri Oct 21 17:29:14 2022,365
23.93,55.17,2,100%,Fri Oct 21 17:29:24 2022,366
23.93,54.9,2,100%,Fri Oct 21 17:29:34 2022,367
23.93,54.9,2,100%,Fri Oct 21 17:29:44 2022,368
23.93,54.82,2,100%,Fri Oct 21 17:29:54 2022,369
23.95,54.65,2,100%,Fri Oct 21 17:30:04 2022,370
23.93,54.8,2,100%,Fri Oct 21 17:30:14 2022,371
23.96,54.92,2,100%,Fri Oct 21 17:30:24 2022,372
23.93,54.73,2,100%,Fri Oct 21 17:30:34 2022,373
23.93,54.7,2,100%,Fri Oct 21 17:30:44 2022,374
